id	type	readings	context
l-3737_4	graph	vos (HVGAR)| vous (PFS)	Des que vos le voles ensi
l-3737_6	graph	volez (HVG)| voles (PFASR)	Des que vos le voles ensi
l-3737_7	graph	ensi (HAS)| einsi (V)| ainsi (P)| issi (FGR)	Des que vos le voles ensi
l-3738_1	semlex:minor:gramm	Et (HPVR)| Sire (FGAS)	Et neporquant je vos pri
l-3738_2	graph	neporqant (HF)| nepourquant (PS)| neporquant (VGAR)	Et neporquant je vos pri
l-3738_3	semlex:minor:gramm	ice (H)| je (PVFGAS)| forment (R)	Et neporquant je vos pri
l-3738_4	graph	je (PGAS)| ge (V)| jo (F)	Et neporquant je vos pri
l-3738_5	graph	vos (HVGAR)| vous (PFS)	Et neporquant je vos pri
l-3738_6	semlex:major	pri (HFGASRP)| chasti (V)	Et neporquant je vos pri
l-3738_7	semlex:minor:constrmorph	pri (HFGASR)| depri (P)	Et neporquant je vos pri
l-3738_8	graph	pri (HFASR)| pris (G)	Et neporquant je vos pri
l-3739_1	semlex:minor:gramm	Que (HPVFGAR)| Ne (S)	Que ja por moi ne revignies
l-3739_3	graph	por (HVFGAR)| pour (PS)	Que ja por moi ne revignies
l-3739_5	semlex:minor:gramm	n'i (H)| ne (PVFGASR)	Que ja por moi ne revignies
l-3739_7	semlex:major	revignies (HPFGAS)| remegniez (VR)	Que ja por moi ne revignies
l-3739_8	graph	reveigniez (HG)| revegnies (P)| revignies (FA)| revingnies (S)	Que ja por moi ne revignies
l-3739_9	graph	remegniez (V)| remagnies (R)	Que ja por moi ne revignies
l-3740_2	graph	vuel (H)| veul (P)| voeil (V)| voil (F)| vueil (G)| vel (A)| voel (SR)	ne voel pas que vos empragnies
l-3740_5	semlex:minor:gramm	vos (HPVFGAS)| por moi (R)	ne voel pas que vos empragnies
l-3740_6	graph	vos (HVGA)| vous (PFS)	ne voel pas que vos empragnies
l-3740_7	graph	anpreigniez (H)| enprenies (P)| empregniez (V)| empregnies (F)| enpreigniez (G)| enprengnies (A)| emprengnies (S)| empragnies (R)	ne voel pas que vos empragnies
l-3741_1	graph	Bataille (HPVFGAS)| Batalle (R)	Bataille si tres felenesse
l-3741_3	graph	felonesse (HV)| felenesse (PFGAR)| felonnesse (S)	Bataille si tres felenesse
l-3742_1	semlex:minor:semsim	Vostre (HPVFGSR)| Molt grans (A)	Vostre merci de la promesse
l-3742_2	graph	merci (HVFGR)| merchi (PS)| mercis (A)	Vostre merci de la promesse
l-3742_4	graph	la (HPVFGA)| le (SR)	Vostre merci de la promesse
l-3742_5	graph	promesse (HPVGAR)| pramesse (FS)	Vostre merci de la promesse
l-3743_1	semlex:minor:gramm	Que (HPVFGR)| Car (AS)	Que volentiers le feries
l-3743_3	graph	volantiers (H)| volentiers (PVFGARS)	Que volentiers le feries
l-3743_4	graph	la (HP)| le (VFGASR)	Que volentiers le feries
l-3743_5	morsynt	feries (HPFVGAR)| fesissies (S)	Que volentiers le feries
l-3743_6	graph	feroiez (H)| feries (PFVGAR)	Que volentiers le feries
l-3743_7	graph	feries (PF)| ferieez (V)| feriez (G)| feriees (A)| feriies (R)	Que volentiers le feries
l-3744_1	graph	Mes (HVG)| Mais (PFASR)	Mais trestous quites en soies
l-3744_2	graph	trestoz (HV)| trestous (PAS)| trestos (FR)| trestouz (G)	Mais trestous quites en soies
l-3744_3	graph	quites (HVFGS)| cuites (PAR)	Mais trestous quites en soies
l-3744_4	graph	an (H)| en (PVFGASR)	Mais trestous quites en soies
l-3744_5	graph	soiez (HVG)| soies (PFAR)| soyes (S)	Mais trestous quites en soies
l-3745_1	semlex:minor:gramm	Que (HV)| Car (PFGS)| Et (AR)	Car miex est que je seule muire
l-3745_2	graph	mialz (H)| mix (P)| miex (VSR)| mius (FA)| meuz (G)	Car miex est que je seule muire
l-3745_3	semlex:minor:semsim	est (HPGASR)| vaut (V)| vient (F)	Car miex est que je seule muire
l-3745_5	graph	je (HPGAS)| ge (V)| jo (FR)	Car miex est que je seule muire
l-3745_6	graph	seule (HPASR)| sole (FVG)	Car miex est que je seule muire
l-3746_2	graph	je (HPGAS)| ge (V)| jo (FR)	Que je les veisse deduire
l-3746_3	morsynt	les (HPVFGR)| le (A)| lor (S)	Que je les veisse deduire
l-3746_4	graph	veisse (HPVFGAR)| veisce (S)	Que je les veisse deduire
l-3746_5	semlex:major	deduire (HPVFGSR)| destruire (A)	Que je les veisse deduire
l-3747_2	semlex:minor:gramm	et (HPVFSR)| ne (GA)	De vostre mort et de la moie
l-3748_2	graph	por (HVFGAR)| pour (PS)	ja por ce n' en eschaperoie
l-3748_3	graph	ce (HVFGS)| chou (P)| cou (A)| co (R)	ja por ce n' en eschaperoie
l-3748_6	graph	eschaperoie (HPVGA)| escaperoie (FSR)	ja por ce n' en eschaperoie
l-3749_1	graph	Qant (HF)| Quant (PVGASR)	Quant il vos aroient ocis
l-3749_3	graph	vos (HVGAR)| vous (PFS)	Quant il vos aroient ocis
l-3749_4	graph	avroient (HVG)| averoient (A)| aroient (PFSR)	Quant il vos aroient ocis
l-3749_5	graph	ocis (HVFGAR)| ochis (PS)	Quant il vos aroient ocis
l-3750_2	graph	mialz (H)| mix (P)| miex (VSR)| mius (FA)| melz (G)	S'est miex que vos remaignies vis
l-3750_4	graph	vos (HVGAR)| vous (PFS)	S'est miex que vos remaignies vis
l-3750_5	semlex:major	remaignies (HPVFASR)| en ailliez (G)	S'est miex que vos remaignies vis
l-3750_6	graph	remaingniez (H)| remaignies (PA)| remanez (V)| remanes (FR)| remangnies (S)	S'est miex que vos remaignies vis
l-3751_3	graph	nos (HVGAR)| nous (PFS)	Que nos i fuissons mort andui
l-3751_5	semlex:minor:syn	fuissons mort (HFPVSR)| morissions (GA)	Que nos i fuissons mort andui
l-3751_6	morsynt	fuissons (HPVSR)| soions (F)	Que nos i fuissons mort andui
l-3751_7	graph	fussiens (H)| fussons (P)| fuissons (VS)| fuscons (R)	Que nos i fuissons mort andui
l-3751_8	graph	morissions (G)| morissons (A)	Que nos i fuissons mort andui
l-3751_9	graph	andui (HFGASR)| ambedui (P)| amdui (V)	Que nos i fuissons mort andui
l-3752_1	graph	Molt (HVFGASR)| Mout (P)	Molt m' aves or dit grant anui
l-3752_3	graph	avez (HVG)| aves (PFASR)	Molt m' aves or dit grant anui
l-3752_4	graph	or (HVFGAR)| ore (PS)	Molt m' aves or dit grant anui
l-3752_7	graph	enui (H)| anui (PVFASR)| ennui (G)	Molt m' aves or dit grant anui
l-3753_1	graph	Fet (HVGA)| Fait (PFSR)	Fet mesire Yvains douce amie
l-3753_2	graph	messire (HF)| mesire (PGASR)| missire (V)	Fet mesire Yvains douce amie
l-3753_3	graph	Yvains (HPVFR)| Yveins (G)| Vains (A)| Ywains (S)	Fet mesire Yvains douce amie
l-3753_4	semlex:minor:syn	bele (HA)| chiere (P)| douce (VFGSR)	Fet mesire Yvains douce amie
l-3753_5	graph	bele (H)| biele (A)	Fet mesire Yvains douce amie
l-3753_6	graph	douce (VG)| douche (S)| dolce (FR)	Fet mesire Yvains douce amie
l-3754_3	semlex:minor:gramm	ou (HPF)| or (R)| que (VGS)	espoir ou vos ne voles mie
l-3754_4	graph	vos (HVGAR)| vous (PFS)	espoir ou vos ne voles mie
l-3754_7	graph	volez (HVG)| voles (PFASR)	espoir ou vos ne voles mie
l-3755_2	morsynt	delivre (HPVFASR)| delivree (G)	Estre delivre de la mort
l-3756_2	graph	Ou (HPVG)| U (FAR)	Ou vos despisies le confort
l-3756_3	graph	vos (HVGAR)| vous (PFS)	Ou vos despisies le confort
l-3756_4	graph	despisiez (HVG)| despisies (PFASR)	Ou vos despisies le confort
l-3757_2	graph	je (HPGAS)| ge (V)| jo (FR)	Que je vos faz de vos aidier
l-3757_4	graph	vos (HVGR)| vous (PFS)	Que je vos faz de vos aidier
l-3757_5	morsynt	ferai (A)| faz (HPVFGSR)	Que je vos faz de vos aidier
l-3757_6	graph	faz (HVG)| fais (P)| fas (F)| faich (S)| fac (R)	Que je vos faz de vos aidier
l-3757_8	graph	vos (HVGAR)| vous (PFS)	Que je vos faz de vos aidier
l-3757_9	graph	aidier (PVFGASR)| eidier (H)	Que je vos faz de vos aidier
l-3758_3	graph	N' (H)| ne (PFASRVG)	ne quier or plus a vos plaidier
l-3758_5	semlex:minor:gramm	an (H)| vous (S)	ne quier or plus a vos plaidier
l-3758_6	semlex:major	quier (HPFGR)| devez (V)| puis (A)| quich (S)	ne quier or plus a vos plaidier
l-3758_11	semlex:minor:gramm	a (HFGAR)| de (P)	ne quier or plus a vos plaidier
l-3758_13	semlex:minor:gramm	vos (HVGAR)| vous (PF)	ne quier or plus a vos plaidier
l-3758_15	graph	pleidier (H)| plaidier (PFAR)| pledier (VG)| plaidoiier (S)	ne quier or plus a vos plaidier
l-3759_1	semlex:minor:gramm	Que (HPVFG)| Car (ASR)	Que vos aves tant fait por moi
l-3759_2	graph	vos (HVGAR)| vous (PFS)	Que vos aves tant fait por moi
l-3759_4	graph	avez (HVG)| aves (PFAS)	Que vos aves tant fait por moi
l-3759_8	graph	fet (HVG)| fait (PFASR)	Que vos aves tant fait por moi
l-3759_10	graph	por (HVFGAR)| pour (PS)	Que vos aves tant fait por moi
l-3759_11	graph	moi (HVGFASR)| moy (P)	Que vos aves tant fait por moi
l-3760_2	graph	Certes (HGASRF)| Chertes (P)	Certes que faillir ne vos doi
l-3760_5	semlex:minor:gramm	ja jor (V)| certes (F)	Certes que faillir ne vos doi
l-3760_6	graph	faillir (HVFGA)| falir (PS)| fallir (R)	Certes que faillir ne vos doi
l-3760_8	graph	vos (HVGAR)| vous (PFS)	Certes que faillir ne vos doi
l-3761_2	graph	besoing (HPSR)| bersoing (F)| besoig (VGA)	A nul besoing que vos aies
l-3761_4	graph	vos (HVGAR)| vous (PFS)	A nul besoing que vos aies
l-3761_5	graph	aiez (HVG)| aies (PFAS)| aiies (R)	A nul besoing que vos aies
l-3762_2	semlex:minor:gramm	molt (HPVG)| vous (FASR)	Bien sai que molt vos esmaies
l-3762_3	graph	molt (HVG)| moult (P)	Bien sai que molt vos esmaies
l-3762_4	graph	vous (FS)| vos (AR)	Bien sai que molt vos esmaies
l-3762_5	graph	vos (HVGAR)| vous (PFS)	Bien sai que molt vos esmaies
l-3762_6	graph	esmaiez (HVG)| esmaies (PFAR)| esmaiies (S)	Bien sai que molt vos esmaies
l-3763_1	semlex:minor:gramm	Mais (HPVGASR)| Car (F)	Mais se Deu plaist en cui je croi
l-3763_2	graph	Mais (PASR)| Mes (HVG)	Mais se Deu plaist en cui je croi
l-3763_4	graph	Deu (HVFG)| Dix (P)| Dius (A)| Dieu (SR)	Mais se Deu plaist en cui je croi
l-3763_5	graph	plaist (PFASR)| plest (HVG)	Mais se Deu plaist en cui je croi
l-3763_6	graph	an (H)| en (VGPFASR)	Mais se Deu plaist en cui je croi
l-3763_7	graph	cui (HPGAR)| qui (VFS)	Mais se Deu plaist en cui je croi
l-3763_8	graph	je (HPGAS)| jo (FS)| ge (V)	Mais se Deu plaist en cui je croi
l-3764_2	graph	an (H)| en (PVFGASR)	Il en seront honi tot troi
l-3764_4	graph	honi (HVFGR)| honni (PAS)	Il en seront honi tot troi
l-3764_5	flex	tuit (HVG)| tot (PSFAR)	Il en seront honi tot troi
l-3764_6	graph	tout (PS)| tot (FAR)	Il en seront honi tot troi
l-3764_7	graph	troi (HVFGRPA)| .iii. (S)	Il en seront honi tot troi
l-3765_2	semlex:minor:gramm	que (HPVFG)| car (ASR)	Ce vers débute par une lettrine Or n'i a plus que je m'en vois
l-3765_3	semlex:minor:gramm	or (A)| je (HPVFGSR)	Ce vers débute par une lettrine Or n'i a plus que je m'en vois
l-3765_4	graph	je (HPGSR)| ge (V)| jo (F)	Ce vers débute par une lettrine Or n'i a plus que je m'en vois
l-3765_5	graph	m'an (H)| m'en (PVFGASR)	Ce vers débute par une lettrine Or n'i a plus que je m'en vois
l-3766_1	graph	Ou (HPVG)| U (FASR)	Ou que soit logier en cest bois
l-3766_3	semlex:minor:syn	logier (HPVFGA)| lonc (S)| loig (R)	Ou que soit logier en cest bois
l-3766_4	graph	an (H)| en (PVFGASR)	Ou que soit logier en cest bois
l-3766_5	semlex:minor:gramm	ce (H)| chel (PF)| cest (VUASR)	Ou que soit logier en cest bois
l-3766_6	graph	chel (P)| cel (F)	Ou que soit logier en cest bois
l-3766_7	semlex:minor:constrmorph	cest (VGA)| icest (SR)	Ou que soit logier en cest bois
l-3767_1	semlex:minor:gramm	Que (HPVFFGR)| Car (AS)	Que d' ostel pres ne sai ge point
l-3767_2	graph	d' (HPVFGSR)| de (A)	Que d' ostel pres ne sai ge point
l-3767_6	semlex:minor:gramm	ne (HPVAGSR)| n'i (F)	Que d' ostel pres ne sai ge point
l-3767_8	graph	ge (HVG)| jo (FR)| je (PAS)	Que d' ostel pres ne sai ge point
l-3768_2	graph	fet (HVG)| fait (PFASR)	Sire fait ele Dex vos doint
l-3768_3	graph	ele (HVGPFAR)| elle (S)	Sire fait ele Dex vos doint
l-3768_4	graph	Dex (HVG)| Dix (PAS)| Diex (R)	Sire fait ele Dex vos doint
l-3768_5	graph	vos (HVGAR)| vous (PAS)	Sire fait ele Dex vos doint
l-3768_6	graph	doint (HVFG)| doinst (PASR)	Sire fait ele Dex vos doint
l-3769_2	graph	boen (HG)| boin (PSR)| bon (VFA)	Et boin ostel et boine nuit
l-3769_3	semlex:minor:syn	chastel (P)| ostel (HVFGASR)	Et boin ostel et boine nuit
l-3769_4	graph	ostel (HVGSR)| hostel (FA)	Et boin ostel et boine nuit
l-3769_6	graph	boene (H)| boine (PSR)| bone (VFA)| boenne (G)	Et boin ostel et boine nuit
l-3770_2	graph	chose (HPVG)| cose (FASR)	Et de chose qui vos anuit
l-3770_3	graph	qui (HPVGFAS)| ki (R)	Et de chose qui vos anuit
l-3770_4	graph	vos (HVGAR)| vous (PFS)	Et de chose qui vos anuit
l-3770_5	graph	enuit (H)| anuit (PVFASR)| ennuit (G)	Et de chose qui vos anuit
l-3771_1	semlex:minor:constrmorph	Si (HPFGASR)| Ainsi (V)	Si com je le desir vos gart
l-3771_3	semlex:major	je le desir (HPVGASR)| il est poissans (F)	Si com je le desir vos gart
l-3771_4	graph	je le (HPVGAS)| jel (R)	Si com je le desir vos gart
l-3771_5	graph	je (HPGAS)| ge (V)	Si com je le desir vos gart
l-3771_7	graph	vos (HVGAR)| vous (PFS)	Si com je le desir vos gart
l-3772_2	semlex:minor:gramm	Tantost (PVGS)| Atant (FAR)	Tantost mesire Yvains s'en part
l-3772_3	graph	mesire (PGASR)| messire (HVF)	Tantost mesire Yvains s'en part
l-3772_4	graph	Yvains (HPVFR)| Yveins (G)| Vains (A)| Yvains (S)	Tantost mesire Yvains s'en part
l-3772_6	graph	s'an (H)| s'en (PVGAR)| s'am (F)| s'em (S)	Tantost mesire Yvains s'en part
l-3773_2	graph	lyons (HGS)| leons (PV)| lions (FAR)	Et li lyons tos jorz apres
l-3773_3	graph	toz (H)| tous (PS)| tot (V)| tos (FAR)| touz (G)	Et li lyons tos jorz apres
l-3773_4	semlex:minor:syn	tans (AR)| jorz (HPVFGS)	Et li lyons tos jorz apres
l-3773_5	graph	jorz (HG)| jours (PS)| jors (VF)	Et li lyons tos jorz apres
l-3774_2	semlex:minor:syn	ale (HVFGR)| erre (PAS)	S'ont tant ale qu' il vindrent pres
l-3774_3	morsynt	ale (HVFR)| alerent (G)	S'ont tant ale qu' il vindrent pres
l-3774_4	graph	erre (PA)| esret (S)	S'ont tant ale qu' il vindrent pres
l-3774_5	graph	qu' (HFGASRP)| que (V)	S'ont tant ale qu' il vindrent pres
l-3774_6	graph	il (HFGASRV)| i (P)	S'ont tant ale qu' il vindrent pres
l-3774_7	semlex:minor:semsim	vindrent (HPVFGAS)| furent (R)	S'ont tant ale qu' il vindrent pres
l-3774_8	morsynt	vindrent (HGAFS)| vienent (P)| vint (V)	S'ont tant ale qu' il vindrent pres
l-3774_9	graph	vindrent (HGA)| vinrent (FS)	S'ont tant ale qu' il vindrent pres
l-3775_1	semlex:minor:syn	D'un (HPVFSR)| Dou (AG)	D'un fort recet a .i. baron
l-3775_2	graph	Dou (G)| Del (A)	D'un fort recet a .i. baron
l-3775_4	semlex:minor:syn	chastel (P)| recet (HVFGASR)	D'un fort recet a .i. baron
l-3775_5	graph	recet (HVFAR)| receit (G)| rechet (S)	D'un fort recet a .i. baron
l-3775_7	graph	.i. (HPVGASR)| un (F)	D'un fort recet a .i. baron
l-3776_1	semlex:minor:gramm	Qui (HPVFGASCC)| Bien (R)	Qui clos estoit tot environ
l-3776_6	graph	tot (HVFACC)| tout (PGS)	Qui clos estoit tot environ
l-3776_7	graph	anviron (H)| environ (PVFGASRCC)	Qui clos estoit tot environ
l-3777_2	graph	haut (HPVFGASCC)| halt (R)	De mur espes et fort et haut
l-3778_2	graph	chastiax (HPV)| castiax (FR)| chastiaux (G)| chastiaus (A)| castiaus (S)| casteax (CC)	Li chastiax ne cremoit assaut
l-3778_4	semlex:minor:syn	cremoit (HPVFSRA)| doutoit (GCC)	Li chastiax ne cremoit assaut
l-3778_5	morsynt	cremoit (HPVFSR)| crint (A)	Li chastiax ne cremoit assaut
l-3778_7	graph	assaut (HPVSRCC)| assalt (F)| asaut (GA)	Li chastiax ne cremoit assaut
l-3779_2	graph	magonel (HVFGRCc)| mangonnel (PS)| mangonniel (A)	De magonel ne de perriere
l-3779_4	graph	perriere (HPVFGRCc)| periere (AS)	De magonel ne de perriere
l-3780_1	graph	Qu' (HVFGPASCc)| K' (R)	Qu' il estoit fors de grant maniere
l-3780_3	graph	forz (HVG)| fors (FRPSCcA)	Qu' il estoit fors de grant maniere
l-3780_4	semlex:minor:gramm	a (H)| de (PVFGASRCC)	Qu' il estoit fors de grant maniere
l-3781_1	graph	Mes (HVGA)| Mais (PFSR)	Mes fors des murs estoit si rese
l-3781_2	semlex:minor:gramm	fors (HVFASR)| hors (PG)	Mes fors des murs estoit si rese
l-3781_3	morsynt	des murs (HPVGA)| del mur (SFR)	Mes fors des murs estoit si rese
l-3781_4	semlex:minor:gramm	de (S)| del (FR)	Mes fors des murs estoit si rese
l-3781_6	semlex:major	remese (H)| si rese (PVFGASR)	Mes fors des murs estoit si rese
l-3781_7	semlex:minor:gramm	si (PVGAS)| se (F)| li (R)	Mes fors des murs estoit si rese
l-3781_8	graph	rese (PFGASR)| res (V)	Mes fors des murs estoit si rese
l-3782_2	graph	la (HVFGAS)| Le (P)| Li (R)	la place qu'il n'i ot remese
l-3782_3	graph	place (HPVFGAS)| plache (R)	la place qu'il n'i ot remese
l-3782_5	graph	qu'il (HPFGAS)| k'il (R)	la place qu'il n'i ot remese
l-3782_7	morsynt	remese (HPFGASR)| remez (V)	la place qu'il n'i ot remese
l-3783_1	graph	En (APVFGSR)| An (H)	En estant borde ne maison
l-3783_3	semlex:minor:constrmorph	borde (APVFGHR)| bordel (S)	En estant borde ne maison
l-3783_6	graph	meison (H)| maison (PFASR)	En estant borde ne maison
l-3784_1	graph	Assez (HVG)| Asses (PFASR)	Asses en sares la raison
l-3784_3	semlex:minor:semsim	ores (HSR)| sares (PVFGA)	Asses en sares la raison
l-3784_4	flex	orroiz (H)| ores (SR)	Asses en sares la raison
l-3784_5	graph	sares (PF)| savrez (V)| savroiz (G)| savres (A)	Asses en sares la raison
l-3784_6	semlex:minor:semsim	la raison (HPVR)| l' aqoison (FGAS)	Asses en sares la raison
l-3784_7	graph	la (HV)| le (PR)	Asses en sares la raison
l-3784_8	graph	reison (H)| raison (PR)| reson (V)	Asses en sares la raison
l-3784_9	graph	aqoison (F)| acheson (G)| okison (A)| occoison (S)	Asses en sares la raison
l-3785_2	graph	Une (HPFGSR)| Un (V)	Une autre fois quant leus sera
l-3785_3	graph	foiz (HG)| fois (PVFASR)	Une autre fois quant leus sera
l-3785_4	graph	qant (HF)| quant (PVGASR)	Une autre fois quant leus sera
l-3785_5	graph	leus (HG)| lieu (P)| lieus (V)| lius (FA)| liex (R)	Une autre fois quant leus sera
l-3785_7	graph	sera (HPVFGAS)| serra (R)	Une autre fois quant leus sera
l-3786_2	morsynt	Le (PR)| la (HVFGAS)	la droite voie va
l-3786_4	semlex:major	droite (HPVFGSR)| dame (A)	la droite voie va
l-3786_8	semlex:minor:semsim	va (HPVF)| torna (R)| tenue a (GAS)	la droite voie va
l-3786_9	graph	tenue (GS)| tenu (A)	la droite voie va
l-3787_1	graph	Messire (HF)| Mesire (PGASR)| Missire (V)	Mesire Yvains vers le recet
l-3787_2	graph	Yvains (HPVFR)| Yveins (G)| Vains (A)| Ywains (S)	Mesire Yvains vers le recet
l-3787_3	semlex:minor:gramm	vers le (HPVGAR)| jusqu'al (FS)	Mesire Yvains vers le recet
l-3787_4	semlex:minor:syn	recet (HVFGASR)| chastel (P)	Mesire Yvains vers le recet
l-3788_3	graph	vaslet (H)| valles (P)| vallet (VFGASR)	Et vallet corent jusqu' a .vii.
l-3788_5	semlex:minor:syn	saillent (HV)| corent (FGASR)	Et vallet corent jusqu' a .vii.
l-3788_6	graph	corent (FGAR)| keurent (S)	Et vallet corent jusqu' a .vii.
l-3788_7	semlex:major	jusqu' a .vii. (HVASFGR)| fort et isnel (P)	Et vallet corent jusqu' a .vii.
l-3788_8	semlex:minor:gramm	jusqu' a (HVAS)| plus de (FGR)	Et vallet corent jusqu' a .vii.
l-3788_9	semlex:minor:gramm	jusqu' (HVS)| dusqu' (A)	Et vallet corent jusqu' a .vii.
l-3788_10	graph	jusqu' (HV)| jusque (S)	Et vallet corent jusqu' a .vii.
l-3788_11	graph	set (HGA)| .vii. (VFSRP)	Et vallet corent jusqu' a .vii.
l-3789_1	semlex:minor:gramm	Qui (HVGAR)| Si (PFS)	Qui li ont le pont avale
l-3789_3	semlex:minor:gramm	.i. (HPS)| le (VFARG)	Qui li ont le pont avale
l-3789_4	graph	.i. (HS)| un (P)	Qui li ont le pont avale
l-3790_3	graph	sont (HPVFGR)| ont (A)	li sont a l' encontre ale
l-3790_5	semlex:minor:gramm	a (HVGAR)| tantost (P)| Et (F)	li sont a l' encontre ale
l-3791_1	graph	Mes (HVG)| Mais (PFASR)	Mais del lion que avec lui voient
l-3791_2	graph	del (HFGAR)| du (PS)| dou (V)	Mais del lion que avec lui voient
l-3791_3	graph	lyon (HGS)| lion (PFAR)| leon (V)	Mais del lion que avec lui voient
l-3791_4	graph	que (HVGA)| c' (PSR)| q' (F)	Mais del lion que avec lui voient
l-3791_5	semlex:major	venir (HVG)| avec lui (PRAFS)	Mais del lion que avec lui voient
l-3791_6	graph	avec (PR)| vuec (A)| avolc (F)| avoec (S)	Mais del lion que avec lui voient
l-3792_1	semlex:major	Avoec lui (HVG)| Venir (PFSR)	Venir molt durement s' esfroient
l-3792_2	graph	Avoec (H)| Ovoec (V)| Avec (G)	Venir molt durement s' esfroient
l-3792_3	graph	lui (HG)| li (V)	Venir molt durement s' esfroient
l-3792_5	semlex:minor:syn	durement (HPVFASR)| fort (G)	Venir molt durement s' esfroient
l-3792_6	graph	duremant (H)| durement (PVFASR)	Venir molt durement s' esfroient
l-3792_7	semlex:minor:syn	se doutoient (P)| s' esfroient (HVFGASR)	Venir molt durement s' esfroient
l-3792_9	graph	esfroient (HVFGSR)| esfreoient (A)	Venir molt durement s' esfroient
l-3793_1	semlex:minor:gramm	Si (HPVFGAS)| Et (R)	Si li dient que se li plest
l-3793_2	graph	Si (HPVFGS)| Se (A)	Si li dient que se li plest
l-3793_5	semlex:minor:gramm	s'il (HFR)| se (PVGAS)	Si li dient que se li plest
l-3793_6	graph	si (P)| se (VGAS)	Si li dient que se li plest
l-3793_7	graph	li (HPFR)| lui (VGAS)	Si li dient que se li plest
l-3793_8	graph	plest (HVFG)| plaist (PASR)	Si li dient que se li plest
l-3794_2	graph	Sen (P)| Son (HVFGASR)	Son lion a la porte lest
l-3794_3	graph	lyon (HGS)| lion (PFAR)| leon (V)	Son lion a la porte lest
l-3794_5	graph	lest (HVFG)| laist (PASR)	Son lion a la porte lest
l-3795_1	graph	Qu' (HPFS)| Que (VGAR)	Qu' il ne les afolt ou ocie
l-3795_3	graph	ne les (HPVFR)| nes (GAS)	Qu' il ne les afolt ou ocie
l-3795_4	semlex:major	afolt (HPVFGS)| afront (A)| blece (R)	Qu' il ne les afolt ou ocie
l-3795_5	graph	afost (H)| afolt (PFS)| affole (V)| afout (G)	Qu' il ne les afolt ou ocie
l-3795_6	semlex:minor:gramm	et (HR)| ou (PVGFS)| ne (A)	Qu' il ne les afolt ou ocie
l-3795_7	graph	ou (PVG)| u (FS)	Qu' il ne les afolt ou ocie
l-3795_8	graph	ocie (HVFGAS)| ochie (P)| occie (R)	Qu' il ne les afolt ou ocie
l-3796_2	semlex:minor:syn	cil (V)| il (HPFGASR)	Et il respont n'en parles mie
l-3796_4	semlex:minor:syn	respont (HPVFGAS)| dist (R)	Et il respont n'en parles mie
l-3796_5	semlex:minor:gramm	n'en (HPVFGSR)| ne (A)	Et il respont n'en parles mie
l-3796_6	semlex:major	parles (HPFGSR)| doutez (VA)	Et il respont n'en parles mie
l-3796_7	graph	parlez (HG)| parles (PFSR)	Et il respont n'en parles mie
l-3796_8	graph	doutez (V)| doutes (A)	Et il respont n'en parles mie
l-3797_2	graph	enterrai (HPFGR)| anterrai (An)| entrerai (VA)| enterai (S)	Que ja n'i enterrai sans lui
l-3797_3	graph	sanz (HAnVG)| sans (PFASR)	Que ja n'i enterrai sans lui
l-3798_1	graph	Ou (HAnPVG)| U (FASR)	Ou nos avrons ostel andui
l-3798_2	graph	nos (HAnVGAR)| nous (PFS)	Ou nos avrons ostel andui
l-3798_3	graph	avrons (HAnVG)| arons (PFSR)	Ou nos avrons ostel andui
l-3798_6	graph	ostel (HAnVFGASR)| hostel (P)	Ou nos avrons ostel andui
l-3798_8	graph	andui (HAnFGAR)| ambedui (P)| amdui (V)| ambdui (S)	Ou nos avrons ostel andui
l-3799_1	graph	Ou (HAnPVFG)| U (ASR)	Ou je remanrai ca defors
l-3799_2	morsynt	je (HPVFGSR)| nos (An)	Ou je remanrai ca defors
l-3799_3	graph	je (HPG)| ge (V)| jou (FS)| jo (AR)	Ou je remanrai ca defors
l-3799_4	semlex:minor:syn	remanrai (HAnPVFGSR)| demouerai (A)	Ou je remanrai ca defors
l-3799_5	morsynt	remanrai (HPVFGAS)| remeindrons (An)	Ou je remanrai ca defors
l-3799_6	graph	remanrai (HR)| remaurrai (P)| remaindrai (VF)| remaindre (G)| remaurai (S)	Ou je remanrai ca defors
l-3799_8	graph	ca (HAnVFGA)| cha (PSR)	Ou je remanrai ca defors
l-3799_9	semlex:minor:constrmorph	fors (HVAR)| defors (AnFGSP)	Ou je remanrai ca defors
l-3799_10	semlex:minor:syn	defors (AnFGS)| dehors (P)	Ou je remanrai ca defors
l-3800_1	semlex:minor:gramm	Car (A)| Q' (HAnPVFGSR)	Q' autant l' aim ge come mon cors
l-3800_2	graph	Qu' (H)| Q' (AnVF)| Que (PS)| C' (GR)	Q' autant l' aim ge come mon cors
l-3800_3	semlex:minor:gramm	autretant (HV)| autant (AnPFGASR)	Q' autant l' aim ge come mon cors
l-3800_4	graph	autant (AnPGAS)| altant (FR)	Q' autant l' aim ge come mon cors
l-3800_6	graph	aim (HAnVFGR)| aime (PA)| ainc (S)	Q' autant l' aim ge come mon cors
l-3800_8	graph	ge (AnVG)| jo (FR)| jou (S)	Q' autant l' aim ge come mon cors
l-3800_9	semlex:minor:gramm	come (HAnPVFGSR)| que (A)	Q' autant l' aim ge come mon cors
l-3800_10	graph	come (HAnFG)| comme (PSR)| com (V)	Q' autant l' aim ge come mon cors
